39.3433 	EXP 	New trial (rep=0, index=14): OrderedDict([('images', 'images/corbata28.png')])
39.4963 	EXP 	image: autoDraw = False
39.4963 	EXP 	image: image = 'images/corbata28.png'
39.4963 	EXP 	image: autoDraw = True
40.0398 	DATA 	Keypress: space
40.0428 	EXP 	New trial (rep=0, index=15): OrderedDict([('images', 'images/linterna36.png')])
40.1282 	EXP 	image: autoDraw = False
40.1282 	EXP 	image: image = 'images/linterna36.png'
40.1282 	EXP 	image: autoDraw = True
40.7729 	DATA 	Keypress: space
40.7757 	EXP 	New trial (rep=0, index=16): OrderedDict([('images', 'images/tornillo55.png')])
40.8550 	EXP 	image: autoDraw = False
40.8550 	EXP 	image: image = 'images/tornillo55.png'
40.8550 	EXP 	image: autoDraw = True
41.3897 	DATA 	Keypress: space
41.3925 	EXP 	New trial (rep=0, index=17): OrderedDict([('images', 'images/tambor19.png')])
41.4653 	EXP 	image: autoDraw = False
41.4653 	EXP 	image: image = 'images/tambor19.png'
41.4653 	EXP 	image: autoDraw = True
42.0224 	DATA 	Keypress: space
42.0253 	EXP 	New trial (rep=0, index=18): OrderedDict([('images', 'images/serrucho51.png')])
42.1078 	EXP 	image: autoDraw = False
42.1078 	EXP 	image: image = 'images/serrucho51.png'
42.1078 	EXP 	image: autoDraw = True
42.5887 	DATA 	Keypress: space
42.5915 	EXP 	New trial (rep=0, index=19): OrderedDict([('images', 'images/libro8.png')])
42.6650 	EXP 	image: autoDraw = False
42.6650 	EXP 	image: image = 'images/libro8.png'
42.6650 	EXP 	image: autoDraw = True
43.0219 	DATA 	Keypress: space
43.0248 	EXP 	New trial (rep=0, index=20): OrderedDict([('images', 'images/manzana15.png')])
43.1153 	EXP 	image: autoDraw = False
43.1153 	EXP 	image: image = 'images/manzana15.png'
43.1153 	EXP 	image: autoDraw = True
43.4550 	DATA 	Keypress: space
43.4578 	EXP 	New trial (rep=0, index=21): OrderedDict([('images', 'images/persiana61.png')])
43.5342 	EXP 	image: autoDraw = False
43.5342 	EXP 	image: image = 'images/persiana61.png'
43.5342 	EXP 	image: autoDraw = True
43.8919 	DATA 	Keypress: space
43.8947 	EXP 	New trial (rep=0, index=22): OrderedDict([('images', 'images/hoja27.png')])
43.9880 	EXP 	image: autoDraw = False
43.9880 	EXP 	image: image = 'images/hoja27.png'
43.9880 	EXP 	image: autoDraw = True
44.3877 	DATA 	Keypress: space
